cluster_id,confidence,Id,source,organization_id,organization_name,organization_alternate_name,organization_description,organization_email,organization_phone,organization_url,organization_tax_status,organization_tax_id,organization_year_incorporated,organization_legal_status,organization_latitude,organization_longitude,organization_street,organization_city,organization_state,organization_zip,organization_county,service_id,service_type,service_subtype,service_facility_usage_subcode,program_id,service_name,service_alternate_name,service_description,service_url,service_email,service_phone,service_status,service_interpretation_services,service_application_process,service_wait_time,service_fees,service_accreditations,service_licenses,taxonomy_ids,service_latitude,service_longitude,service_street,service_city,service_state,service_zip,service_county
22,0.95326679944992065,5,IRMA,406,Landmark Middle School,,,,9046302489,,,,,,30.323335,-81.486827,101 Kernan Blvd N,Jacksonville,,32225,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
3,0.953066,6,IRMA,230,Sumter County Fairgrounds,,,,badphone,,,,,,28.643801,-82.05667,7620 SR 471,Bushnell,,33513,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
4,0.990911,8,IRMA,605,Williston Middle High School,,,,3525283542,,,,,,29.3693488,-82.450249,"350 Robert Philpot Way, Williston, FL 32696, USA",Williston,,32696,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
8,0.279867,11,IRMA,433,ARC - Columbus Civic Center,,,,7063235614,,,,,,32.4510478,-84.9865387,"400 4th Street, Columbus, Georgia 31901, United States",Columbus,Georgia,31901,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
22,0.95326679944992065,19,IRMA,411,Abess Park Elementary,,,,9046302489,,,,,,30.323524,-81.477635,12731 Abess Blvd,Jacksonville,,32225,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
77,0.9699588418006897,23,IRMA,655,Alachua County Senior Ctr - Sp Needs,,,,3522646557,,,,,,29.7076443,-82.3548409,"5701 NW 34th Blvd, Gainesville, FL 32653, USA",Gainesville,Florida,32653,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
19,0.532228,29,IRMA,522,Alico Arena,,,,2395907145,,,,,,26.4694811,-81.7647091,"12181 Fgcu Lake Parkway East, Fort Myers, FL, United States",Fort Myers,Florida,33913,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
25,0.96793317794799805,32,IRMA,835,Alta Vista Elementary School,,,,badphone,,,,,,28.0854939,-81.6249003,"801 Scenic Hwy, Haines City, FL 33844, USA",Haines City,,33844,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
29,0.95506814122200012,33,IRMA,442,Amelia Earhart Elementary,,,,3054685900,,,,,,25.8771383,-80.2681758,5987 East 7th Avenue,Hialeah,Florida,33013,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
27,0.962102,34,IRMA,797,American Legion Hall,,,,badphone,,,,,,33.1728765,-83.996881,"8 Towaliga South Rd, Jackson, GA 30233, USA",Jackson,,30233,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
31,0.95233601331710815,36,IRMA,443,American Senior High,,,,3054685900,,,,,,25.939445,-80.308522,"18350 NW 67th Ave, Hialeah, FL, United States",Hialeah,Florida,33015,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
30,0.40609610080718994,38,IRMA,444,Andover Middle School,,,,3054685900,,,,,,25.9666846,-80.199174,"121 Northeast 207th Street, Miami, FL, United States",Miami,Florida,33179,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
34,0.41454675793647766,43,IRMA,532,Apopka High School,,,,4078369140,,,,,,28.693476,-81.521559,"555 Martin St. Apopka, FL 32712",Apopka,,32712,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
21,0.4971010684967041,46,IRMA,414,Arlington Middle School,,,,9046302489,,,,,,30.337778,-81.570631,8141 Lone Star Road,Jacksonville,,32211,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
23,0.94801539182662964,53,IRMA,417,Atlantic Coast High School,,,,9046302489,,,,,,30.204067,-81.506089,9735 R.G. Skinner Pkwy,Jacksonville,,32256,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
45,0.42990870873133347,61,IRMA,918,BLOOMINGDALE HIGH SCHOOL,,,,8132725900,,,,,,27.8937511,-82.253748,"1700 Bloomingdale Ave, Valrico, FL 33596, USA",Valrico,,33596,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
32,0.40325984027650619,63,IRMA,445,Barbara Goleman Senior High,,,,3054685900,,,,,,25.9023918,-80.3456898,"14100 NW 89th Ave, Miami Lakes, FL, United States",Miami Lakes,Florida,33018,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
0,0.427261,64,IRMA,539,Barnett Park Community Center,,,,4078369140,,,,,,28.5581083,-81.4415587,"4801 W Colonial Dr, Orlando, FL 32808, USA",Orlando,,32808,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
48,0.43116600645913017,68,IRMA,399,Bartels Middle School,,,,8132747700,,,,,,28.168664,-82.350667,"9020 Imperial Oak Blvd, Tampa, FL 33647, United States",Tampa,Florida,33647,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
51,0.39701855182647705,70,IRMA,426,Bartram Trail High School,,,,9048245550,,,,,,30.044702,-81.609413,7399 Longleaf Pine Pkwy,Saint Johns,,32259,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
54,0.548315,73,IRMA,33,Bayshore Elementary School,,,,9417484501,,,,,,27.4321497,-82.592357,6120 26th St W,Bradenton,,34207,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
56,0.42731005698442459,74,IRMA,574,Bayshore Elementary School,,,,7724604357,,,,,,27.2917554,-80.364521,"1661 Southwest Bayshore Boulevard, Port St. Lucie, FL, United States",Port St. Lucie,Florida,34984,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
61,0.944467,80,IRMA,775,Bell Health Academy / Bell High School,,,,badphone,,,,,,29.75154,-82.859312,"930 S Main St, Bell, FL 32619, USA",Bell,,32619,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
63,0.44031453132629395,83,IRMA,692,Belleview Middle School Special Needs,,,,3523697500,,,,,,29.068899,-82.0888812,"10500 SE 36th Ave, Belleview, FL 34420, USA",Belleview,Florida,34420,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
45,0.37049614191055302,84,IRMA,858,Benito Middle School,,,,8132725900,,,,,,28.1409782,-82.3245506,"10101 Cross Creek Blvd, Tampa, FL 33647, USA",Tampa,,33647,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
14,0.48801758885383606,85,IRMA,119,Bentley Elementary,,,,4076655102,,,,,,28.792908,-81.3310298,2190 S Oregon Ave,Sanford,,32771,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
0,0.427261,92,IRMA,540,Bithlo Community Center and Park,,,,4078369140,,,,,,28.559478,-81.102644,"18501 Washington Ave, Orlando, FL 32820, USA",Orlando,,32820,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
70,0.3673740029335022,95,IRMA,1046,Blackshear Trail  Elementary School,,,,4046357000,,,,,,31.9971353,-83.7492038,"Old Blackshear Rd, Cordele, GA 31015, USA",Cordele,,31015,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
25,0.97277247905731201,109,IRMA,842,Boone Middle School,,,,badphone,,,,,,28.1013032,-81.6129117,"225 S 22nd St, Haines City, FL 33844, USA",Haines City,,33844,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
80,0.175508,115,IRMA,719,Bradford High School,,,,9049666075,,,,,,29.9499306,-82.1094983,"581 N Temple Ave, Starke, FL 32091, USA",Starke,,32091,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
48,0.32909740342034233,118,IRMA,400,Brandon High School,,,,8132747700,,,,,,27.9439607,-82.2997258,"1101 Victoria St, Brandon, FL 33510, United States",Brandon,Florida,33510,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
84,0.320889,123,IRMA,683,Bronson Elementary School,,,,3524865281,,,,,,29.461695,-82.629045,"400 Ishie Ave, Bronson, FL 32621, USA",Bronson,Florida,32621,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
84,0.320889,125,IRMA,679,Bronson Middle School,,,,3524865261,,,,,,29.4657373,-82.6291883,"8691 NE 90 St, Bronson, FL 32621, USA",Bronson,Ohio,32621,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
1,0.96233013272285461,132,IRMA,697,Bryceville Elementary School,,,,badphone,,,,,,30.5358075,-81.7888712,"Church Rd, Callahan, FL 32011, USA",Callahan,Florida,32011,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
78,0.41084256768226624,133,IRMA,615,Buchholz High School,,,,3522646557,,,,,,29.678598,-82.4020929,"5510 NW 27th Ave, Gainesville, FL 32606, USA",Gainesville,,32606,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
48,0.41472252872255111,137,IRMA,402,Burnett Middle School,,,,8132747700,,,,,,28.007549,-82.27985,"1010 N Kingsway Rd, Seffner, FL 33584, United States",Seffner,Florida,33584,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
70,0.49494048953056335,139,IRMA,1047,Butler High School,,,,4046357000,,,,,,33.419816,-82.0165169,"2011 Lumpkin Rd, Augusta, GA 30906, USA",Augusta,,30906,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
