Cluster ID,confidence_score,Id,Source,organization_id,organization_name,organization_alternate_name,organization_description,organization_email,organization_phone,organization_url,organization_tax_status,organization_tax_id,organization_year_incorporated,organization_legal_status,organization_latitude,organization_longitude,organization_street,organization_city,organization_state,organization_zip,organization_county,service_id,service_type,service_subtype,service_facility_usage_subcode,program_id,service_name,service_alternate_name,service_description,service_url,service_email,service_phone,service_status,service_interpretation_services,service_application_process,service_wait_time,service_fees,service_accreditations,service_licenses,taxonomy_ids,service_latitude,service_longitude,service_street,service_city,service_state,service_zip,service_county,canonical_organization_phone,canonical_service_name,canonical_organization_tax_id,canonical_service_wait_time,canonical_service_accreditations,canonical_Source,canonical_service_status,canonical_service_facility_usage_subcode,canonical_organization_description,canonical_service_application_process,canonical_service_subtype,canonical_taxonomy_ids,canonical_service_email,canonical_service_latitude,canonical_organization_tax_status,canonical_organization_name,canonical_organization_longitude,canonical_service_url,canonical_service_interpretation_services,canonical_service_type,canonical_organization_url,canonical_service_licenses,canonical_organization_county,canonical_organization_street,canonical_service_city,canonical_organization_alternate_name,canonical_program_id,canonical_organization_id,canonical_service_description,canonical_service_longitude,canonical_service_street,canonical_organization_legal_status,canonical_service_phone,canonical_organization_latitude,canonical_organization_year_incorporated,canonical_service_county,canonical_organization_email,canonical_service_fees,canonical_service_zip,canonical_organization_city,canonical_organization_zip,canonical_service_id,canonical_service_alternate_name,canonical_Id,canonical_service_state,canonical_organization_state
74,,1,IRMA,726, Buddy Taylor – Wadsworth campus ,,,,badphone,,,,,,29.5300118,-81.2226937,"4500 Belle Terre Pkwy, Palm Coast, FL 32164, USA",Palm Coast,,32164,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.147097,2,IRMA,264, Center Hill Recreation Center ,,,,badphone,,,,,,28.6485753,-81.9972577,74 S. Virginia Ave.,Center Hill,,33514,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,,badphone,shelters,,,,irma,,,,,,,,,,center hill recreation center,-81.9972577,,,,,,,74 s. virginia ave.,,,,264,,,,,,28.6485753,,,,,,center hill,33514,,,2,,
75,,3,IRMA,300, Davenport School of the Arts,,,,8634202557,,,,,,28.228221,-81.584523,4751 North CR 547,Davenport,,33837,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,4,IRMA,1190, Indian Springs Group Shelte,,,,badphone,,,,,,33.2474843,-83.9331089,"678 Lake Clark Rd, Flovilla, GA 30216, USA",Flovilla,,30216,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.39170479774475098,5,IRMA,406, Landmark Middle School,,,,9046302489,,,,,,30.323335,-81.486827,101 Kernan Blvd N,Jacksonville,,32225,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,,9046302489,shelters,,,,irma,,,,,,,,,,landmark middle school,-81.486827,,,,,,,101 kernan blvd n,,,,406,,,,,,30.323335,,,,,,jacksonville,32225,,,5,,
77,,6,IRMA,230, Sumter County Fairgrounds,,,,badphone,,,,,,28.643801,-82.05667,7620 SR 471,Bushnell,,33513,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,7,IRMA,606, Williston Elementary School,,,,3525286030,,,,,,29.3760838,-82.4460967,"801 S Main St, Williston, FL 32696, USA",Williston,,32696,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.934314,8,IRMA,605, Williston Middle High School,,,,3525283542,,,,,,29.3693488,-82.450249,"350 Robert Philpot Way, Williston, FL 32696, USA",Williston,,32696,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,,3525283542,shelters,,,,irma,,,,,,,,,,williston middle high school,-82.450249,,,,,,,"350 robert philpot way, williston, fl 32696, usa",,,,605,,,,,,29.3693488,,,,,,williston,32696,,,8,,florida
79,,9,IRMA,1063,A.H. Stephens State Park ,,,,7064562602,,,,,,33.5602543,-82.8970351,"456 Alexander St, Crawfordville, GA 30631, USA",Crawfordville,,30631,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,10,IRMA,994,ARC - Academy of Richmond County,,,,7067377152,,,,,,33.4738113,-82.005436,"910 Russell St, Augusta, GA 30904, USA",Augusta,,30904,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,11,IRMA,433,ARC - Columbus Civic Center,,,,7063235614,,,,,,32.4510478,-84.9865387,"400 4th Street, Columbus, Georgia 31901, United States",Columbus,Georgia,31901,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,12,IRMA,997,ARC - First Baptist Church of Gainesville,,,,7705347354,,,,,,34.3094814,-83.8295111,"751 Green St, Gainesville, GA 30501, USA",Gainesville,,30501,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,13,IRMA,998,ARC - Frank Chester Recreation Center,,,,7066858016,,,,,,32.427403,-84.940235,"1441 Fort Benning Rd, Columbus, GA 31903, USA",Columbus,,31903,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,14,IRMA,1067,ARC -Central Park Recreation Center,,,,4048741780,,,,,,33.7690245,-84.3745304,"400 Merritts Ave NE, Atlanta, GA 30308, USA",Atlanta,,30308,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,15,IRMA,1011,ARC Rosa Jackson Rec Center,,,,4787519169,,,,,,32.857542,-83.610423,"1211 Maynard St, Macon, GA 31217, USA",Macon,,31217,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,16,IRMA,1013,ARC Waycross Middle School,,,,9122872333,,,,,,31.2136321,-82.340378,"700 Central Ave, Waycross, GA 31501, USA",Waycross,,31501,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,17,IRMA,1053,ASU Acadome (ASU Campus),,,,badphone,,,,,,32.3650918,-86.2956923,"915 S Jackson St, Montgomery, AL 36104, USA",Montgomery,,36104,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,18,IRMA,1072,Abbeville 1st Baptist Church,,,,2294672944,,,,,,31.9899926,-83.30359,"135 Riverside Dr, Abbeville, GA 31001, USA",Abbeville,,31001,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.39170479774475098,19,IRMA,411,Abess Park Elementary,,,,9046302489,,,,,,30.323524,-81.477635,12731 Abess Blvd,Jacksonville,,32225,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,,9046302489,shelters,,,,irma,,,,,,,,,,landmark middle school,-81.486827,,,,,,,101 kernan blvd n,,,,406,,,,,,30.323335,,,,,,jacksonville,32225,,,5,,
89,,20,IRMA,1043,Abraham Baldwin College,,,,4046357000,,,,,,31.493994,-83.5310316,"2802 Moore Hwy, Tifton, GA 31793, USA",Tifton,,31793,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,21,IRMA,859,Adams Middle School,,,,badphone,,,,,,-82.467224,28.042174,10201-10299 North Boulevard,Tampa,,,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,22,IRMA,950,Al-Farooq Masjid: Home,,,,4048747521,,,,,,33.7858232,-84.4015484,"442 14th St NW, Atlanta, GA 30318, USA",Atlanta,,30318,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,0.60057401657104492,23,IRMA,655,Alachua County Senior Ctr - Sp Needs,,,,3522646557,,,,,,29.7076443,-82.3548409,"5701 NW 34th Blvd, Gainesville, FL 32653, USA",Gainesville,Florida,32653,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,,3522646557,shelters,,,,irma,,,,,,,,,,alachua county senior ctr - sp needs,-82.3548409,,,,,,,"5701 nw 34th blvd, gainesville, fl 32653, usa",,,,655,,,,,,29.7076443,,,,,,gainesville,32653,,,23,,florida
92,,24,IRMA,611,Alachua Elementary School,,,,badphone,,,,,,29.79541,-82.4924489,"13800 Northwest 152nd Place, Alachua, FL 32615, USA",Alachua,,32615,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,25,IRMA,1045,Albany Civic Center,,,,4046357000,,,,,,31.5738262,-84.1500462,"100 W Oglethorpe Blvd, Albany, GA 31701, USA",Albany,,31701,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,26,IRMA,957,Albany Family Worship Center,,,,2294340342,,,,,,31.619099,-84.231405,"3024 Kensington Ct, Albany, GA 31721, USA",Albany,,31721,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,27,IRMA,524,Albany Humane Society- Pet Shelter,,,,2298887387,,,,,,31.5496495,-84.2041135,"1705 West Oakridge Drive, Albany, GA, United States",Albany,Georgia,31707,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,28,IRMA,494,Alberta School of Performing Arts,,,,2057593564,,,,,,33.209358,-87.502442,"2700 University Boulevard East, Tuscaloosa, AL, United States",Tuscaloosa,Alabama,35404,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.139639,29,IRMA,522,Alico Arena,,,,2395907145,,,,,,26.4694811,-81.7647091,"12181 Fgcu Lake Parkway East, Fort Myers, FL, United States",Fort Myers,Florida,33913,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,,2395907145,shelters,,,,irma,,,,,,,,,,alico arena,-81.7647091,,,,,,,"12181 fgcu lake parkway east, fort myers, fl, united states",,,,522,,,,,,26.4694811,,,,,,fort myers,33913,,,29,,florida
97,,30,IRMA,1014,Allendale Elementary School,,,,8035843476,,,,,,32.9830271,-81.2722043,"3305 Allendale-Fairfax Hwy, Fairfax, SC 29827, USA",Fairfax,,29827,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,31,IRMA,1235,Alnwick Community Center,,,,8657241714,,,,,,35.7492364,-84.0343621,"2146 Big Springs Rd, Maryville, TN 37801, USA",Maryville,,37801,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,32,IRMA,835,Alta Vista Elementary School,,,,badphone,,,,,,28.0854939,-81.6249003,"801 Scenic Hwy, Haines City, FL 33844, USA",Haines City,,33844,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,0.41274827718734741,33,IRMA,442,Amelia Earhart Elementary,,,,3054685900,,,,,,25.8771383,-80.2681758,5987 East 7th Avenue,Hialeah,Florida,33013,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,,3054685900,shelters,,,,irma,,,,,,,,,,hialeah middle school,-80.2682137,,,,,,,"251 east 47th street, hialeah, fl, united states",,,,456,,,,,,25.8771383,,,,,,hialeah,33013,,,430,,florida
100,,34,IRMA,797,American Legion Hall,,,,badphone,,,,,,33.1728765,-83.996881,"8 Towaliga South Rd, Jackson, GA 30233, USA",Jackson,,30233,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,35,IRMA,19,American Legion Post #64,,,,8637632950,,,,,,27.242625,-80.8281957,501 SE 2nd St,Okeechobee,,34974,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,0.3826369047164917,36,IRMA,443,American Senior High,,,,3054685900,,,,,,25.939445,-80.308522,"18350 NW 67th Ave, Hialeah, FL, United States",Hialeah,Florida,33015,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,,3054685900,shelters,,,,irma,,,,,,,,,,american senior high,-80.308522,,,,,,,"18350 nw 67th ave, hialeah, fl, united states",,,,443,,,,,,25.939445,,,,,,hialeah,33015,,,36,,florida
102,,37,IRMA,1194,Amicalola Falls State Park & Lodge,,,,badphone,,,,,,34.5541408,-84.2508264,"418 Amicalola Falls State Park Rd, Dawsonville, GA 30534, USA",Dawsonville,,30534,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,38,IRMA,444,Andover Middle School,,,,3054685900,,,,,,25.9666846,-80.199174,"121 Northeast 207th Street, Miami, FL, United States",Miami,Florida,33179,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,39,IRMA,413,Andrew Robinson,,,,9046302489,,,,,,30.351937,-81.65634,101 W. 12th Street,Jacksonville,,32206,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,40,IRMA,1137,Animal Care Facility  - Pets Only,,,,8035763439,,,,,,34.0523495,-81.1075194,"3216 Broad River Rd, Columbia, SC 29210, USA",Columbia,,29210,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,41,IRMA,75,Annie Lucy Williams Elementary School,,,,9417764040,,,,,,27.543356,-82.4259007,3404 Fort Hamer Rd,Parrish,,34219,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,42,IRMA,729,Apollo Elementary,,,,3212677890,,,,,,28.580707,-80.844226,"3085 Knox McRae Dr, Titusville, FL 32780, USA",Titusville,,32780,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,43,IRMA,532,Apopka High School,,,,4078369140,,,,,,28.693476,-81.521559,"555 Martin St. Apopka, FL 32712",Apopka,,32712,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,44,IRMA,818,Apopka Middle School,,,,4078842208,,,,,,28.6876858,-81.5085695,"425 N Park Ave, Apopka, FL 32712, USA",Apopka,,32712,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,45,IRMA,607,Archer Community School,,,,badphone,,,,,,29.5201505,-82.5225874,"14533 SW 170th St, Archer, FL 32618, USA",Archer,,32618,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,46,IRMA,414,Arlington Middle School,,,,9046302489,,,,,,30.337778,-81.570631,8141 Lone Star Road,Jacksonville,,32211,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,47,IRMA,886,Armwood High School,,,,badphone,,,,,,-82.295988,28.005565,12000 U.S. 92,Seffner,,,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,48,IRMA,91,Ashton Elementary School,,,,9413616440,,,,,,27.278419,-82.467555,"5110 Ashton Rd, Sarasota, FL 34233",Sarasota,,34233,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,49,IRMA,48,Astatula Elementary School,,,,badphone,,,,,,28.7113024,-81.7258581,"13925 Florida Ave, Astatula, FL 34705, USA",Astatula,,34705,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,50,IRMA,1027,Atkinson County High School Gym,,,,badphone,,,,,,31.320905,-82.8498786,"145 Rebel Ln, Pearson, GA 31642, USA",Pearson,,31642,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,51,IRMA,1215,Atlanta Humane Society - Metro Sheltering Pets Only,,,,3035061934,,,,,,34.0181482,-84.3206221,"900, 1425 Market Blvd, Roswell, GA 30076, USA",Roswell,,30076,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,52,IRMA,429,Atlanta Motor Speedway (RV/tent campgrounds),,,,7709464211,,,,,,33.384517,-84.313377,1500 Tara Pl,Hampton,Georgia,30228,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.343667,53,IRMA,417,Atlantic Coast High School,,,,9046302489,,,,,,30.204067,-81.506089,9735 R.G. Skinner Pkwy,Jacksonville,,32256,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,,9046302489,shelters,,,,irma,,,,,,,,,,atlantic coast high school,-81.506089,,,,,,,9735 r.g. skinner pkwy,,,,417,,,,,,30.204067,,,,,,jacksonville,32256,,,53,,
118,,54,IRMA,223,Atlantic Community High School,,,,5612431500,,,,,,26.4624729,-80.0977491,2455 W Atlantic Ave,Delray Beach,,33445,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
