Source,organization_id,organization_name,organization_alternate_name,organization_description,organization_email,organization_phone,organization_url,organization_tax_status,organization_tax_id,organization_year_incorporated,organization_legal_status,organization_latitude,organization_longitude,organization_street,organization_city,organization_state,organization_zip,organization_county,service_id,service_type,service_subtype,service_facility_usage_subcode,program_id,service_name,service_alternate_name,service_description,service_url,service_email,service_phone,service_status,service_interpretation_services,service_application_process,service_wait_time,service_fees,service_accreditations,service_licenses,taxonomy_ids,service_latitude,service_longitude,service_street,service_city,service_state,service_zip,service_county
IRMA,726, Buddy Taylor – Wadsworth campus ,,,,badphone,,,,,,29.5300118,-81.2226937,"4500 Belle Terre Pkwy, Palm Coast, FL 32164, USA",Palm Coast,,32164,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,264, Center Hill Recreation Center ,,,,badphone,,,,,,28.6485753,-81.9972577,74 S. Virginia Ave.,Center Hill,,33514,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,300, Davenport School of the Arts,,,,8634202557,,,,,,28.228221,-81.584523,4751 North CR 547,Davenport,,33837,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,1190, Indian Springs Group Shelte,,,,badphone,,,,,,33.2474843,-83.9331089,"678 Lake Clark Rd, Flovilla, GA 30216, USA",Flovilla,,30216,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,406, Landmark Middle School,,,,9046302489,,,,,,30.323335,-81.486827,101 Kernan Blvd N,Jacksonville,,32225,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,230, Sumter County Fairgrounds,,,,badphone,,,,,,28.643801,-82.05667,7620 SR 471,Bushnell,,33513,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,606, Williston Elementary School,,,,3525286030,,,,,,29.3760838,-82.4460967,"801 S Main St, Williston, FL 32696, USA",Williston,,32696,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,605, Williston Middle High School,,,,3525283542,,,,,,29.3693488,-82.450249,"350 Robert Philpot Way, Williston, FL 32696, USA",Williston,,32696,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,1063,A.H. Stephens State Park ,,,,7064562602,,,,,,33.5602543,-82.8970351,"456 Alexander St, Crawfordville, GA 30631, USA",Crawfordville,,30631,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,994,ARC - Academy of Richmond County,,,,7067377152,,,,,,33.4738113,-82.005436,"910 Russell St, Augusta, GA 30904, USA",Augusta,,30904,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
